Region,School Name,School Hours of Operation,Teacher Start & End Time  ,Para Start & End Time   ,Nurse Start & End Time,Family Liaison Start & End Time ,Specialist Start and End Time,Notes: 
7,Boston Collaborative High School,"8:30am - 2:00pm; wed 12:30pm
Early Dismissal 12:00pm",8:00am-2:30pm,8:00am-2:30pm,8:00am-2:30pm,7:00am-3:00pm,8:00am-2:30pm,Teacher PD every Wednesday 12:30-2:30
7,Brighton High School,"7:30am - 2:25pm
Early Dismissal 11:55am
Ea",7:25-2:40,7:15-2:25,7:25-2:40,7:00-3:00,,Teacher PD every Wednesday 2:40-4:30
7,Fenway High School,"8:45am - 3:35pm M,T, W, Th; 1:35pm F",8:35-3:45 M-T & 8:35-3:30 F,"Mon 8:35–3:45, Tue 8:35–4:30, Wed 8:35–3:35, Thu 8:35–3:35, Fri 8:35–3:30",8:35-3:45 M-T & 8:35-3:30 F,8.30-4.30,,Teacher Pilot School EWA hours
7,Kennedy Academy for Health Careers (12),8:00am - 3:00pm; 1:30pm Mon,7:45am-3:15pm,7:45am-3:15pm,7:45am-3:15pm,7:45am-3:15pm,7:45am-3:15pm,Teacher PD is every Monday from 1:45pm - 3:45pm
7,Kennedy Academy for Health Careers (9-11),8:00am - 3:00pm; 1:30pm Mon,7:45am-3:15pm ,7:45am-3:15pm,7:45am-3:15pm,7:45am-3:15pm,7:45am-3:15pm,Teacher PD is every Monday from 1:45pm - 3:45pm
7,Lyon High School,8:30am - 3:30pm; Early dismissal 12:00pm Wed,8:20 AM - 3:40 PM,8:20 AM - 3:40 PM,8:20 AM - 3:40 PM,8:00 AM - 4:00 PM,8:20 AM - 3:40 PM,Teacher PD is every Wednesday from 12:30 - 3:30
7,Lyon K-8 School,9:30am - 4:10pm,9:15 AM-4:25 PM,9:15 AM-4:O5 PM,9:15 AM-4:25 PM,8:30-4:30,9:15 AM-4:25 PM,
7,Melvin H King - Elementary,9:30am-3:30 pm,"M-Th 8:10-3:30    
    
F 9:10-3:30",,"M-Th 8:10-3:30    
    
F 9:10-3:30",7:00 am-3:00pm,"M-Th 8:10-3:30    
    
F 9:10-3:30",BTU Teachers receive an annual ELT stipend for four hours of before school PD per week; Paras work 7.25 hours; Para hours are communicated to paras from the elementary administrator
7,Melvin H. King - Prep High School,7:20am - 1:40pm,7:10 am-2:50 pm,"Mon-Thur 7:10 am-2:35 pm
 
Fri 7:10-1:50 ","Mon-Thur 7:10 am-2:35 pm
 
Fri 7:10-1:50 ",7:00 am-3:00pm,"Mon-Thur 7:10 am-2:35 pm
 
Fri 7:10-1:50 ",BTU Teachers receive an annual ELT stipend for four hours of after school PD per week; Paras work 7.25 hours
7,Mel H King South End Academy (MS & HS),7:20am - 1:40pm,7:10am-2:50pm,"Mon-Thur 7:10 am-2:35 pm
 
Fri 7:10-1:50 ","Mon-Thur 7:10 am-2:35 pm
 
Fri 7:10-1:50 ",7:00 am-3:00pm,"Mon-Thur 7:10 am-2:35 pm
 
Fri 7:10-1:50 ",BTU Teachers receive an annual ELT stipend for four hours of after school PD per week; Paras work 7.25 hours
7,O'Bryant School of Math & Science,7:20am - 1:45pm,7:15 AM - 1:55 PM,7:15 AM - 1:55 PM,7:15 AM - 1:55 PM,7:15 AM - 1:55 PM,,
