Type,Shops,Phone,Fax,Email,Address Line 1,City,State,Zip
Location,Philbrick Elementary,,,,40 Philbrick Street,Roslindale,MA,02131
Location,Quincy Elementary,,,,885 Washington Street,Boston,MA,02111
Location,Quincy Upper,,,,152 Arlington Street,Boston,MA,02116
Location,Roosevelt K-8,,,,30 Millstone Road,Hyde Park,MA,02136
Location,Russell Elementary,,,,750 Columbia Road,Dorchester,MA,02125
Location,Ruth Batson Academy,,,,655 Metropolitan Ave,Hyde Park,MA,02136
Location,Shaw-Taylor Elementary,,,,1060 Morton Street,Mattapan,MA,02126
Location,Snowden International High,,,,150 Newbury Street,Boston,MA,02116
Location,Sumner Elementary,,,,15 Basile Street,Roslindale,MA,02131
Location,TechBoston Academy,,,,9 Peacevale Road,Dorchester,MA,02124
Location,Tobin K-8,,,,40 Smith Street,Roxbury,MA,02120
Location,Trotter Elementary,,,,135 Humboldt Avenue,Dorchester,MA,02121
Location,Tynan Elementary,,,,650 E. Fourth Street,South Boston,MA,02127
Location,Umana Academy,,,,312 Border Street,East Boston,MA,02128
Location,UP Academy Dorchester,,,,35 Westville Street,Dorchester,MA,02124
Location,UP Academy Holland,,,,85 Olney Street,Dorchester,MA,02121
Location,Warren-Prescott K-8,,,,50 School Street,Charlestown,MA,02129
Location,West Zone Early Learning Center,,,,200 Heath Street,Jamaica Plain,MA,02130
Location,Winship Elementary,,,,54 Dighton Street,Brighton,MA,02135
Location,Winthrop Elementary,,,,35 Brookford Street,Dorchester,MA,02125
Location,Young Achievers Science & Math K-8,,,,20 Outlook Road,Mattapan,MA,02126
