@timestamp,@message,@logStream,@logGroup
2026-08-21T16:36:04.645Z,  progress t3t1-contacts-workers: done=7926/250937 (3.2%) elapsed=180s rate=44 rows/s eta=1h32m,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:35:04.628Z,  progress t3t1-contacts-workers: done=4513/250937 (1.8%) elapsed=120s rate=38 rows/s eta=1h49m,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:34:04.629Z,  progress t3t1-contacts-workers: done=1472/250937 (0.6%) elapsed=60s rate=25 rows/s eta=2h49m,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:04.627Z,storage-operation logging SUPPRESSED for this run (default) — winston_logs will not reflect this run; failures surface via the RejectLog/run report. Re-enable with S1_LOADER_LOG_SAMPLE=1 (full) or N>1 (sampled),run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.645Z,"04:33:02 PM [app] INFO: Registered charge plugin: bao-er-report-to-ee-allocation {""service"":""charge-plugin-registry"",""triggers"":[""payment_saved""],""requiredComponent"":""sitespecific.bao""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.645Z,"04:33:02 PM [app] INFO: Registered charge plugin: bao-hourly {""service"":""charge-plugin-registry"",""triggers"":[""hours_saved""],""requiredComponent"":""sitespecific.bao""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.635Z,"04:33:02 PM [app] INFO: Registered charge plugin: sitespecific-bao-premium {""service"":""charge-plugin-registry"",""triggers"":[""wmb_saved""],""requiredComponent"":""sitespecific.bao""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.635Z,"04:33:02 PM [app] INFO: Registered charge plugin: sitespecific-bao-echp {""service"":""charge-plugin-registry"",""triggers"":[""hours_saved""],""requiredComponent"":""sitespecific.bao""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.629Z,"04:33:02 PM [app] INFO: Registered eligibility plugin: sitespecific-bao-buildup {""service"":""eligibility-plugin-registry""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.628Z,"04:33:02 PM [app] INFO: Registered charge plugin: sitespecific-bao-dp {""service"":""charge-plugin-registry"",""triggers"":[""cron""],""requiredComponent"":""sitespecific.bao""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.627Z,"04:33:02 PM [app] INFO: Registered charge plugin: sitespecific-bao-cobra {""service"":""charge-plugin-registry"",""triggers"":[""cron""],""requiredComponent"":""sitespecific.bao""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.627Z,"04:33:02 PM [app] INFO: Registered charge plugin: btu-dues-allocation {""service"":""charge-plugin-registry"",""triggers"":[""dues_import_saved""],""requiredComponent"":""sitespecific.btu""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.624Z,"04:33:02 PM [app] INFO: Registered charge plugin: btu-steward-attendance {""service"":""charge-plugin-registry"",""triggers"":[""participant_saved""],""requiredComponent"":""sitespecific.btu""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.623Z,"04:33:02 PM [app] INFO: Registered charge plugin: payment-simple-allocation {""service"":""charge-plugin-registry"",""triggers"":[""payment_saved""]}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.623Z,"04:33:02 PM [app] INFO: Registered charge plugin: gbhet-pension-sla-hourly {""service"":""charge-plugin-registry"",""triggers"":[""hours_saved""],""requiredComponent"":""sitespecific.gbhet.pension""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.622Z,"04:33:02 PM [app] INFO: Registered charge plugin: gbhe-hourly-charge {""service"":""charge-plugin-registry"",""triggers"":[""hours_saved""],""requiredComponent"":""sitespecific.gbhet""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:02.612Z,"04:33:02 PM [app] INFO: Registered charge plugin: gbhet-legal-benefit {""service"":""charge-plugin-registry"",""triggers"":[""wmb_saved""],""requiredComponent"":""sitespecific.gbhet.legal""}",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:00.860Z,[db] driver=neon (serverless/WebSocket),run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:33:00.801Z,[db] Target database: ep-delicate-frog-aflo0zan.c-2.us-west-2.aws.neon.tech/neondb (from EXTERNAL_DATABASE_URL),run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.859Z,"[sync] ── contacts-workers (load-contacts-workers.ts --allow-rejects worker_id_value_collision,duplicate_email,address_incomplete,phone_invalid,contact_no_name --allow-findings deleted_in_s1,source_worker_missing,pending_retention)",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.859Z,[sync] ✓ options 3.2s created=0 updated=1 unchanged=37 deleted=0 deactivated=0 reportOnly=0 rejected=0,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,},run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,  },run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,    },run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""alreadyHandled"": 0",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""candidates"": 0,",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
