BPS Employee ID,Worker ID,Original Bargaining Unit ID
104993,85efd019-c667-412d-aa38-71c4b9f4b06b,NULL
105291,839cc1c7-05d6-4a8c-9b89-960663aa0daf,NULL
105528,626b9cf0-8266-4daa-aef9-67f481336123,NULL
105664,94c7ba15-df84-412a-9aa8-0c582a667288,NULL
105773,6c31caf2-be6a-49c5-872f-9f2716ca6026,NULL
105848,5847ef72-8212-46fb-9531-46a28996b9f2,NULL
106255,81a06cfa-be5a-4d47-883a-cf56ec7c67c7,NULL
107053,706f0d14-4ad2-4054-b22b-c58502e439e7,NULL
107163,60c04f45-c2a1-4470-ab63-03ce54ef2c68,NULL
107744,e964e1b2-47e7-4568-b377-a57eb5e3a3ea,NULL
107916,2c8ad0fc-5227-492c-8590-d1c36e0fea20,NULL
108097,15b631f7-6650-4b94-813e-f1335db666f0,NULL
108159,365ff430-c3ba-4c85-97b7-c75c9965a152,NULL
108161,cf6ad9ce-5eef-4805-bfa6-1fe12b8300b2,NULL
108322,a9fbbc5b-fa79-4b51-8d69-cdb65d51dc11,NULL
108510,1e42a7fd-12f9-4e60-8226-f3b443fe7184,NULL
110363,6da6d90b-b7fd-4615-bb80-9a0b739a026b,NULL
110589,18ff64e8-c085-4b5c-aa83-c39b47f5a38b,NULL
110645,026da100-ea64-40c3-adff-82137fb9f233,NULL
111256,99a7bfba-dc30-4863-9cf8-505bb64877c3,NULL
111856,745f253c-319f-4f03-af71-65a3f1115944,NULL
111999,c530d9c9-c511-4cf3-86fc-e57c5e85520d,NULL
112048,95b2e447-939c-4216-a9e3-bd6ec94b26ce,NULL
112863,90cff6ba-5dff-498f-88e8-65a8f202c376,NULL
113031,ce576a07-7618-4a27-ad0f-e47319b7442b,NULL
113747,64c4ef10-3a81-410e-8f2a-5b7b61b7021e,NULL
113772,f371e248-c917-42ad-904e-5adf60801c70,NULL
114286,883800a0-4e01-432e-8008-acd74fc8c74a,NULL
114901,acf6f260-c58a-498e-a3f2-2986d70aae7b,NULL
115285,3bfcae2c-3560-4f96-9b30-0303d3cb32e2,NULL
115749,6ecbc5db-d06f-4cd5-b3a9-4594346c6e9c,NULL
115788,0746a72a-2aaa-4092-b6a5-247072a94e48,NULL
115930,22bb893d-c9b0-4393-aa9a-f1f2ef1047fa,NULL
116318,4699199b-ddd9-4608-bee0-c8f953276437,NULL
116440,202cf226-8ca7-4f80-ae29-496f8cbf17f3,NULL
116665,362a664b-787f-4d7e-bb80-be55b0e14aa2,NULL
116953,d9528c83-7330-4ebd-bff9-97e4ce2beb27,NULL
117160,9a343fdb-16ec-4126-85eb-600762515a99,NULL
117340,03761e4f-0710-4aa9-a7f0-3f33049d886a,NULL
119242,15492bb8-3323-4efd-adea-9e750b9b284d,NULL
119606,fe612c20-c408-4b65-9757-7db319ab0050,NULL
