,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Mildred Avenue K-8 School,31,39,43,41,41,55,59,63,90,95,0,0,0,0,557
Mozart Elementary School,24,21,22,17,15,23,15,17,0,0,0,0,0,0,154
Murphy K-8 School,44,80,68,67,90,93,107,123,83,78,0,0,0,0,833
New Mission High School,0,0,0,0,0,0,0,0,103,98,141,133,133,126,739
O'Bryant School of Math & Science,0,0,0,0,0,0,0,0,170,166,318,279,295,290,"1,518"
O'Donnell Elementary School,20,37,32,33,36,40,20,30,0,0,0,0,0,0,248
Ohrenberger School,0,0,0,0,75,83,80,77,79,64,0,0,0,0,458
Orchard Gardens K-8 School,41,58,59,75,72,79,70,72,99,91,0,0,0,0,716
Otis Elementary School,40,60,62,65,64,55,32,36,0,0,0,0,0,0,414
Perkins Elementary School,6,29,30,29,29,30,24,24,0,0,0,0,0,0,201
Perry Elementary School,41,48,27,26,27,27,18,18,0,0,0,0,0,0,232
Quincy Elementary School,76,97,105,104,115,116,106,0,0,0,0,0,0,0,719
Quincy Upper School,0,0,0,0,0,0,0,123,99,99,74,70,52,58,575
Roosevelt K-8 School,38,36,37,35,36,44,23,35,43,45,0,0,0,0,372
Russell Elementary School,38,49,54,59,52,43,36,0,0,0,0,0,0,0,331
Ruth Batson Academy,0,0,0,0,0,0,0,0,67,85,121,112,86,109,584
Sarah Roberts Elementary School,60,83,100,99,89,92,87,74,0,0,0,0,0,0,684
Shaw-Taylor Elementary School,43,53,74,61,72,60,57,49,0,0,0,0,0,0,469
Snowden International High School,0,0,0,0,0,0,0,0,0,0,103,97,123,112,435
TechBoston Academy,0,0,0,0,0,0,0,0,124,131,142,144,171,157,869
Tobin K-8 School,25,24,32,31,41,52,38,25,46,41,0,0,0,0,355
Trotter Elementary School,46,56,55,45,43,48,35,32,0,0,0,0,0,0,360
Tynan Elementary School,29,32,34,27,28,27,23,18,0,0,0,0,0,0,218
UP Academy Holland,54,69,67,80,82,87,91,98,0,0,0,0,0,0,628
Warren-Prescott K-8 School,66,69,64,68,73,58,63,38,25,20,0,0,0,0,544
Winship Elementary School,38,44,42,45,43,45,45,47,0,0,0,0,0,0,349
Winthrop Elementary School,9,34,41,44,42,41,23,22,0,0,0,0,0,0,256
Young Achievers Elementary School,45,43,61,49,44,61,34,38,11,36,0,0,0,0,422
