@timestamp,@message
2026-01-20 18:05:03.602,npm warn config production Use `--omit=dev` instead.
2026-01-20 18:04:05.164,npm notice
2026-01-20 18:04:05.164,npm notice New major version of npm available! 10.8.2 -> 11.7.0
2026-01-20 18:04:05.164,npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.7.0
2026-01-20 18:04:05.164,npm notice To update run: npm install -g npm@11.7.0
2026-01-20 18:04:05.164,npm notice
2026-01-20 18:04:05.146,node:internal/errors:496
2026-01-20 18:04:05.146,    ErrorCaptureStackTrace(err);
2026-01-20 18:04:05.146,    ^
2026-01-20 18:04:05.146,"TypeError [ERR_INVALID_ARG_TYPE]: The ""paths[0]"" argument must be of type string. Received undefined"
2026-01-20 18:04:05.146,    at new NodeError (node:internal/errors:405:5)
2026-01-20 18:04:05.146,    at validateString (node:internal/validators:162:11)
2026-01-20 18:04:05.146,    at Object.resolve (node:path:1097:7)
2026-01-20 18:04:05.146,    at file:///app/dist/index.js:37975:18
2026-01-20 18:04:05.146,    at ModuleJob.run (node:internal/modules/esm/module_job:195:25)
2026-01-20 18:04:05.146,    at async ModuleLoader.import (node:internal/modules/esm/loader:337:24)
2026-01-20 18:04:05.146,    at async loadESM (node:internal/process/esm_loader:34:7)
2026-01-20 18:04:05.146,    at async handleMainPromise (node:internal/modules/run_main:106:12) {
2026-01-20 18:04:05.146,  code: 'ERR_INVALID_ARG_TYPE'
2026-01-20 18:04:05.146,}
2026-01-20 18:04:05.146,Node.js v18.20.5
2026-01-20 18:04:05.127,"06:04:05 PM [app] INFO: Registered charge plugin: payment-simple-allocation {""service"":""charge-plugin-registry"",""triggers"":[""payment_saved""]}"
2026-01-20 18:04:05.127,"06:04:05 PM [app] INFO: Registered charge plugin: btu-steward-attendance {""service"":""charge-plugin-registry"",""triggers"":[""participant_saved""],""requiredComponent"":""sitespecific.btu""}"
2026-01-20 18:04:05.125,"06:04:05 PM [app] INFO: Registered charge plugin: gbhet-legal-benefit {""service"":""charge-plugin-registry"",""triggers"":[""wmb_saved""],""requiredComponent"":""sitespecific.gbhet.legal""}"
2026-01-20 18:04:00.751,> rest-express@1.0.0 start
2026-01-20 18:04:00.751,> NODE_ENV=production node dist/index.js
2026-01-20 18:03:59.733,npm warn config production Use `--omit=dev` instead.
2026-01-20 18:02:16.122,npm notice
2026-01-20 18:02:16.122,npm notice New major version of npm available! 10.8.2 -> 11.7.0
2026-01-20 18:02:16.122,npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.7.0
2026-01-20 18:02:16.122,npm notice To update run: npm install -g npm@11.7.0
2026-01-20 18:02:16.122,npm notice
2026-01-20 18:02:16.044,node:internal/errors:496
2026-01-20 18:02:16.044,    ErrorCaptureStackTrace(err);
2026-01-20 18:02:16.044,    ^
2026-01-20 18:02:16.044,"TypeError [ERR_INVALID_ARG_TYPE]: The ""paths[0]"" argument must be of type string. Received undefined"
2026-01-20 18:02:16.044,    at new NodeError (node:internal/errors:405:5)
2026-01-20 18:02:16.044,    at validateString (node:internal/validators:162:11)
2026-01-20 18:02:16.044,    at Object.resolve (node:path:1097:7)
2026-01-20 18:02:16.044,    at file:///app/dist/index.js:37975:18
2026-01-20 18:02:16.044,    at ModuleJob.run (node:internal/modules/esm/module_job:195:25)
2026-01-20 18:02:16.044,    at async ModuleLoader.import (node:internal/modules/esm/loader:337:24)
2026-01-20 18:02:16.044,    at async loadESM (node:internal/process/esm_loader:34:7)
2026-01-20 18:02:16.044,    at async handleMainPromise (node:internal/modules/run_main:106:12) {
2026-01-20 18:02:16.044,  code: 'ERR_INVALID_ARG_TYPE'
2026-01-20 18:02:16.044,}
2026-01-20 18:02:16.044,Node.js v18.20.5
2026-01-20 18:02:16.023,"06:02:16 PM [app] INFO: Registered charge plugin: btu-steward-attendance {""service"":""charge-plugin-registry"",""triggers"":[""participant_saved""],""requiredComponent"":""sitespecific.btu""}"
2026-01-20 18:02:16.022,"06:02:16 PM [app] INFO: Registered charge plugin: payment-simple-allocation {""service"":""charge-plugin-registry"",""triggers"":[""payment_saved""]}"
2026-01-20 18:02:16.021,"06:02:16 PM [app] INFO: Registered charge plugin: gbhet-legal-benefit {""service"":""charge-plugin-registry"",""triggers"":[""wmb_saved""],""requiredComponent"":""sitespecific.gbhet.legal""}"
2026-01-20 18:02:12.319,> rest-express@1.0.0 start
2026-01-20 18:02:12.319,> NODE_ENV=production node dist/index.js
2026-01-20 18:02:11.219,npm warn config production Use `--omit=dev` instead.
2026-01-20 18:01:08.580,npm notice
2026-01-20 18:01:08.580,npm notice New major version of npm available! 10.8.2 -> 11.7.0
2026-01-20 18:01:08.580,npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.7.0
2026-01-20 18:01:08.580,npm notice To update run: npm install -g npm@11.7.0
2026-01-20 18:01:08.580,npm notice
2026-01-20 18:01:08.561,node:internal/errors:496
2026-01-20 18:01:08.561,    ErrorCaptureStackTrace(err);
2026-01-20 18:01:08.561,    ^
2026-01-20 18:01:08.561,"TypeError [ERR_INVALID_ARG_TYPE]: The ""paths[0]"" argument must be of type string. Received undefined"
2026-01-20 18:01:08.561,    at new NodeError (node:internal/errors:405:5)
2026-01-20 18:01:08.561,    at validateString (node:internal/validators:162:11)
2026-01-20 18:01:08.561,    at Object.resolve (node:path:1097:7)
2026-01-20 18:01:08.561,    at file:///app/dist/index.js:37975:18
2026-01-20 18:01:08.561,    at ModuleJob.run (node:internal/modules/esm/module_job:195:25)
2026-01-20 18:01:08.561,    at async ModuleLoader.import (node:internal/modules/esm/loader:337:24)
2026-01-20 18:01:08.561,    at async loadESM (node:internal/process/esm_loader:34:7)
2026-01-20 18:01:08.561,    at async handleMainPromise (node:internal/modules/run_main:106:12) {
2026-01-20 18:01:08.561,  code: 'ERR_INVALID_ARG_TYPE'
2026-01-20 18:01:08.561,}
2026-01-20 18:01:08.561,Node.js v18.20.5
2026-01-20 18:01:08.487,"06:01:08 PM [app] INFO: Registered charge plugin: btu-steward-attendance {""service"":""charge-plugin-registry"",""triggers"":[""participant_saved""],""requiredComponent"":""sitespecific.btu""}"
2026-01-20 18:01:08.486,"06:01:08 PM [app] INFO: Registered charge plugin: payment-simple-allocation {""service"":""charge-plugin-registry"",""triggers"":[""payment_saved""]}"
2026-01-20 18:01:08.485,"06:01:08 PM [app] INFO: Registered charge plugin: gbhet-legal-benefit {""service"":""charge-plugin-registry"",""triggers"":[""wmb_saved""],""requiredComponent"":""sitespecific.gbhet.legal""}"
2026-01-20 18:01:04.982,> rest-express@1.0.0 start
2026-01-20 18:01:04.982,> NODE_ENV=production node dist/index.js
2026-01-20 18:01:03.902,npm warn config production Use `--omit=dev` instead.
2026-01-20 17:59:22.335,npm notice
2026-01-20 17:59:22.335,npm notice New major version of npm available! 10.8.2 -> 11.7.0
2026-01-20 17:59:22.335,npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.7.0
2026-01-20 17:59:22.335,npm notice To update run: npm install -g npm@11.7.0
2026-01-20 17:59:22.335,npm notice
2026-01-20 17:59:22.265,node:internal/errors:496
2026-01-20 17:59:22.265,    ErrorCaptureStackTrace(err);
2026-01-20 17:59:22.265,    ^
2026-01-20 17:59:22.265,"TypeError [ERR_INVALID_ARG_TYPE]: The ""paths[0]"" argument must be of type string. Received undefined"
2026-01-20 17:59:22.265,    at new NodeError (node:internal/errors:405:5)
