cache_admin_menu__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_admin_menu__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_admin_menu__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_admin_menu__truncated_table	4	created	int	int(11)	NO	0		
cache_admin_menu__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_block	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_block	2	data	longblob	longblob	YES	NULL		
cache_block	3	expire	int	int(11)	NO	0	MUL	
cache_block	4	created	int	int(11)	NO	0		
cache_block	5	serialized	smallint	smallint(6)	NO	0		
cache_bootstrap	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_bootstrap	2	data	longblob	longblob	YES	NULL		
cache_bootstrap	3	expire	int	int(11)	NO	0	MUL	
cache_bootstrap	4	created	int	int(11)	NO	0		
cache_bootstrap	5	serialized	smallint	smallint(6)	NO	0		
cache_bootstrap__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_bootstrap__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_bootstrap__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_bootstrap__truncated_table	4	created	int	int(11)	NO	0		
cache_bootstrap__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_features	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_features	2	data	longblob	longblob	YES	NULL		
cache_features	3	expire	int	int(11)	NO	0	MUL	
cache_features	4	created	int	int(11)	NO	0		
cache_features	5	serialized	smallint	smallint(6)	NO	0		
cache_features__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_features__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_features__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_features__truncated_table	4	created	int	int(11)	NO	0		
cache_features__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_feeds_http	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_feeds_http	2	data	longblob	longblob	YES	NULL		
cache_feeds_http	3	expire	int	int(11)	NO	0	MUL	
cache_feeds_http	4	created	int	int(11)	NO	0		
cache_feeds_http	5	serialized	smallint	smallint(6)	NO	0		
cache_field	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_field	2	data	longblob	longblob	YES	NULL		
cache_field	3	expire	int	int(11)	NO	0	MUL	
cache_field	4	created	int	int(11)	NO	0		
cache_field	5	serialized	smallint	smallint(6)	NO	0		
cache_field__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_field__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_field__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_field__truncated_table	4	created	int	int(11)	NO	0		
cache_field__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_filter	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_filter	2	data	longblob	longblob	YES	NULL		
cache_filter	3	expire	int	int(11)	NO	0	MUL	
cache_filter	4	created	int	int(11)	NO	0		
cache_filter	5	serialized	smallint	smallint(6)	NO	0		
cache_filter__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
